IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
45.149.92.71,443,443,true,HKG,Asia Pacific,Hong Kong,127,17.94
18.166.180.230,2053,443,true,HKG,Asia Pacific,Hong Kong,100,17.81
47.238.6.102,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,15.02
47.238.6.102,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,12.50
35.220.176.53,443,443,true,HKG,Asia Pacific,Hong Kong,174,10.79
47.238.6.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,6.46
47.238.6.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,3.45
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,3.15
47.238.6.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,2.81
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,49,2.78
47.76.32.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,58,1.23
58.82.242.199,16762,443,true,HKG,Asia Pacific,Hong Kong,69,0.98
58.82.242.199,11130,443,true,HKG,Asia Pacific,Hong Kong,68,0.78
47.76.146.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,0.75
58.82.242.199,11353,443,true,HKG,Asia Pacific,Hong Kong,66,0.64
47.76.178.146,8080,8080,false,HKG,Asia Pacific,Hong Kong,48,0.43
58.82.242.199,36600,443,true,HKG,Asia Pacific,Hong Kong,66,0.40
58.82.242.199,12170,443,true,HKG,Asia Pacific,Hong Kong,68,0.25
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.24
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,46,0.12
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,44,0.11
172.93.188.157,443,443,true,HKG,Asia Pacific,Hong Kong,51,0.05
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,49,0.04
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,49,0.01
38.181.35.164,36350,443,true,HKG,Asia Pacific,Hong Kong,49,0.01
194.104.146.124,30809,80,false,HKG,Asia Pacific,Hong Kong,99,0.00
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.00
152.32.130.150,806,443,true,HKG,Asia Pacific,Hong Kong,50,0.00
47.76.77.103,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,0.00
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,58,0.00
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,0.00
141.11.125.215,443,443,true,HKG,Asia Pacific,Hong Kong,247,0.00
