IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.17.2.10,32198,443,true,LAX,North America,Los Angeles,170,10.73
34.102.111.127,443,443,true,LAX,North America,Los Angeles,167,9.86
34.117.254.68,80,80,false,LAX,North America,Los Angeles,189,9.36
154.29.147.157,41829,443,true,LAX,North America,Los Angeles,179,9.16
154.29.146.240,17697,443,true,LAX,North America,Los Angeles,196,9.08
91.149.239.62,443,443,true,LAX,North America,Los Angeles,158,8.79
23.224.97.85,32554,443,true,LAX,North America,Los Angeles,177,8.32
154.9.251.185,34237,2096,true,LAX,North America,Los Angeles,200,7.87
34.110.227.66,80,80,false,LAX,North America,Los Angeles,175,7.45
34.110.234.120,80,80,false,LAX,North America,Los Angeles,167,7.17
154.29.146.16,29932,443,true,LAX,North America,Los Angeles,193,7.15
47.251.74.226,80,80,false,LAX,North America,Los Angeles,159,6.57
154.7.179.92,20536,443,true,LAX,North America,Los Angeles,190,6.04
43.250.104.125,30165,443,true,LAX,North America,Los Angeles,182,5.79
34.160.118.77,80,80,false,LAX,North America,Los Angeles,204,5.75
154.9.230.87,34237,2096,true,LAX,North America,Los Angeles,181,4.96
154.9.240.102,8443,443,true,LAX,North America,Los Angeles,158,4.79
154.9.230.3,34237,2096,true,LAX,North America,Los Angeles,179,4.73
158.101.23.233,2053,443,true,LAX,North America,Los Angeles,198,4.38
108.165.40.190,34237,2096,true,LAX,North America,Los Angeles,173,4.37
2.56.255.165,20379,443,true,LAX,North America,Los Angeles,158,4.03
23.224.141.167,26578,443,true,LAX,North America,Los Angeles,161,1.70
154.9.230.113,34237,2096,true,LAX,North America,Los Angeles,175,1.67
154.40.57.145,34237,2096,true,LAX,North America,Los Angeles,160,1.53
23.224.81.196,40761,443,true,LAX,North America,Los Angeles,182,1.34
91.149.239.206,443,443,true,LAX,North America,Los Angeles,161,0.87
91.149.239.122,443,443,true,LAX,North America,Los Angeles,162,0.86
129.153.213.8,443,443,true,LAX,North America,Los Angeles,240,0.27
185.186.146.230,38080,80,false,LAX,North America,Los Angeles,189,0.00
154.29.146.16,10594,443,true,LAX,North America,Los Angeles,192,0.00
103.94.185.7,35586,443,true,LAX,North America,Los Angeles,165,0.00
154.9.251.215,34237,2096,true,LAX,North America,Los Angeles,182,0.00
154.7.183.12,58623,443,true,LAX,North America,Los Angeles,182,0.00
154.29.150.145,57608,443,true,LAX,North America,Los Angeles,176,0.00
154.12.59.101,443,443,true,LAX,North America,Los Angeles,158,0.00
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,182,0.00
156.251.189.154,8443,443,true,LAX,North America,Los Angeles,202,0.00
172.235.51.24,443,443,true,LAX,North America,Los Angeles,158,0.00
199.180.155.172,443,443,true,LAX,North America,Los Angeles,199,0.00
