IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
130.162.134.215,2052,8443,true,NRT,Asia Pacific,Tokyo,60,23.72
37.123.197.170,30803,443,true,NRT,Asia Pacific,Tokyo,142,14.51
176.119.149.243,3000,2053,true,NRT,Asia Pacific,Tokyo,106,13.75
103.20.199.88,30002,80,false,NRT,Asia Pacific,Tokyo,95,13.44
45.66.130.112,56061,443,true,NRT,Asia Pacific,Tokyo,69,12.52
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,150,11.73
85.113.70.27,16119,443,true,NRT,Asia Pacific,Tokyo,73,11.66
172.207.125.150,443,443,true,NRT,Asia Pacific,Tokyo,95,11.18
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,149,10.69
8.219.153.237,2086,2086,false,NRT,Asia Pacific,Tokyo,155,10.66
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,151,10.14
8.219.153.237,2083,2083,true,NRT,Asia Pacific,Tokyo,157,9.35
8.219.153.237,2087,2087,true,NRT,Asia Pacific,Tokyo,150,8.99
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,153,8.69
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,157,8.23
47.236.125.62,2087,2087,true,NRT,Asia Pacific,Tokyo,152,7.99
34.80.121.211,443,443,true,NRT,Asia Pacific,Tokyo,195,7.15
193.123.233.143,2096,80,false,NRT,Asia Pacific,Tokyo,58,5.72
43.153.181.217,443,443,true,NRT,Asia Pacific,Tokyo,75,5.62
54.150.225.131,443,443,true,NRT,Asia Pacific,Tokyo,61,5.11
43.153.181.217,80,80,false,NRT,Asia Pacific,Tokyo,61,4.15
54.92.17.121,443,443,true,NRT,Asia Pacific,Tokyo,79,4.14
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,148,3.28
8.219.66.156,2082,2082,false,NRT,Asia Pacific,Tokyo,149,3.02
185.184.223.45,18443,443,true,NRT,Asia Pacific,Tokyo,84,2.54
45.159.48.102,34237,2096,true,NRT,Asia Pacific,Tokyo,105,1.81
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,157,1.53
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,154,0.82
47.236.125.62,8443,8443,true,NRT,Asia Pacific,Tokyo,155,0.41
45.76.198.248,443,443,true,NRT,Asia Pacific,Tokyo,58,0.27
103.20.199.180,59397,443,true,NRT,Asia Pacific,Tokyo,95,0.02
154.12.191.87,10809,80,false,NRT,Asia Pacific,Tokyo,78,0.00
217.142.151.193,8443,443,true,NRT,Asia Pacific,Tokyo,58,0.00
154.12.191.87,41809,80,false,NRT,Asia Pacific,Tokyo,75,0.00
103.170.233.243,5772,443,true,NRT,Asia Pacific,Tokyo,163,0.00
