IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.6.150,2086,2086,false,SIN,Asia Pacific,Singapore,94,17.73
47.237.92.26,2095,2095,false,SIN,Asia Pacific,Singapore,112,15.24
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,82,14.87
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,86,14.69
47.236.254.120,8880,8880,false,SIN,Asia Pacific,Singapore,134,14.50
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,136,14.43
8.222.144.50,8880,8880,false,SIN,Asia Pacific,Singapore,87,14.23
47.237.14.220,2087,2087,true,SIN,Asia Pacific,Singapore,134,13.57
8.222.136.247,80,80,false,SIN,Asia Pacific,Singapore,108,13.48
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,74,13.43
8.219.87.30,8443,8443,true,SIN,Asia Pacific,Singapore,111,13.31
47.236.158.158,8880,8880,false,SIN,Asia Pacific,Singapore,89,13.28
47.236.17.193,2052,2052,false,SIN,Asia Pacific,Singapore,135,13.15
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,103,12.93
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,83,12.90
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,96,12.76
47.236.205.188,8443,8443,true,SIN,Asia Pacific,Singapore,92,12.61
47.236.5.223,2095,2095,false,SIN,Asia Pacific,Singapore,136,12.48
8.219.210.57,2053,2053,true,SIN,Asia Pacific,Singapore,109,12.41
47.236.146.249,2052,2052,false,SIN,Asia Pacific,Singapore,118,12.38
47.237.95.156,8443,8443,true,SIN,Asia Pacific,Singapore,82,12.35
8.219.191.110,2095,2095,false,SIN,Asia Pacific,Singapore,112,12.19
47.236.17.193,8880,8880,false,SIN,Asia Pacific,Singapore,87,12.15
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,85,12.05
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,114,12.03
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,114,12.03
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,83,11.93
8.219.77.222,2095,2095,false,SIN,Asia Pacific,Singapore,112,11.89
47.236.172.95,8080,8080,false,SIN,Asia Pacific,Singapore,112,11.61
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,139,11.59
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,111,11.55
47.236.104.11,2086,2086,false,SIN,Asia Pacific,Singapore,139,11.54
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,92,11.53
8.222.136.247,8080,8080,false,SIN,Asia Pacific,Singapore,110,11.49
47.237.95.156,80,80,false,SIN,Asia Pacific,Singapore,85,11.47
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,113,11.37
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,86,11.37
47.236.104.11,2087,2087,true,SIN,Asia Pacific,Singapore,115,11.36
8.219.177.205,2095,2095,false,SIN,Asia Pacific,Singapore,112,11.31
47.236.121.23,80,80,false,SIN,Asia Pacific,Singapore,106,11.26
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,112,11.24
47.236.169.15,8880,8880,false,SIN,Asia Pacific,Singapore,133,11.19
8.219.78.188,8880,8880,false,SIN,Asia Pacific,Singapore,132,11.19
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,95,11.10
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,108,11.06
47.236.146.249,8880,8880,false,SIN,Asia Pacific,Singapore,82,11.01
47.236.87.246,2052,2052,false,SIN,Asia Pacific,Singapore,111,10.88
47.236.166.131,80,80,false,SIN,Asia Pacific,Singapore,79,10.85
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,113,10.83
47.236.170.54,2052,2052,false,SIN,Asia Pacific,Singapore,110,10.77
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,139,10.76
47.237.14.220,2083,2083,true,SIN,Asia Pacific,Singapore,106,10.64
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,108,10.64
47.236.205.188,2087,2087,true,SIN,Asia Pacific,Singapore,112,10.62
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,81,10.55
47.236.158.158,2095,2095,false,SIN,Asia Pacific,Singapore,115,10.50
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,94,10.49
8.219.210.57,80,80,false,SIN,Asia Pacific,Singapore,87,10.49
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,86,10.47
47.237.10.1,2082,2082,false,SIN,Asia Pacific,Singapore,80,10.39
47.237.8.82,2096,2096,true,SIN,Asia Pacific,Singapore,136,10.37
8.219.77.222,2083,2083,true,SIN,Asia Pacific,Singapore,112,10.33
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,87,10.33
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,80,10.26
47.237.92.26,2052,2052,false,SIN,Asia Pacific,Singapore,112,10.24
8.222.208.38,2096,2096,true,SIN,Asia Pacific,Singapore,114,10.20
8.219.6.150,8880,8880,false,SIN,Asia Pacific,Singapore,88,10.20
47.237.95.146,2052,2052,false,SIN,Asia Pacific,Singapore,88,10.18
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,110,10.13
47.237.84.173,2052,2052,false,SIN,Asia Pacific,Singapore,80,10.09
47.236.158.158,2053,2053,true,SIN,Asia Pacific,Singapore,115,10.02
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,80,9.98
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,83,9.87
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,115,9.86
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,96,9.84
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,137,9.84
47.237.95.156,2096,2096,true,SIN,Asia Pacific,Singapore,114,9.81
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,115,9.71
