IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
65.75.194.96,23190,443,true,SJC,North America,San Jose,157,14.54
45.59.185.81,8443,443,true,SJC,North America,San Jose,178,12.64
43.153.80.208,443,443,true,SJC,North America,San Jose,165,11.44
65.75.194.110,46197,443,true,SJC,North America,San Jose,190,10.19
193.43.94.168,443,443,true,SJC,North America,San Jose,195,9.13
136.175.176.49,20443,443,true,SJC,North America,San Jose,165,8.64
174.136.206.70,44698,443,true,SJC,North America,San Jose,163,8.45
45.59.185.130,25176,443,true,SJC,North America,San Jose,183,8.12
184.169.181.217,443,443,true,SJC,North America,San Jose,185,7.93
54.193.12.8,443,443,true,SJC,North America,San Jose,160,6.25
192.18.139.229,8443,443,true,SJC,North America,San Jose,179,4.30
13.52.251.56,8443,443,true,SJC,North America,San Jose,187,2.82
107.172.8.212,57321,443,true,SJC,North America,San Jose,264,2.70
185.114.77.159,443,443,true,SJC,North America,San Jose,221,2.46
192.210.136.205,15894,443,true,SJC,North America,San Jose,267,2.44
23.94.255.55,3306,443,true,SJC,North America,San Jose,262,1.89
107.172.8.213,57321,443,true,SJC,North America,San Jose,278,1.79
107.172.86.122,20561,443,true,SJC,North America,San Jose,258,1.69
54.183.80.85,8443,443,true,SJC,North America,San Jose,160,1.66
23.94.240.119,443,443,true,SJC,North America,San Jose,284,1.61
23.95.61.191,19678,443,true,SJC,North America,San Jose,261,1.54
104.168.94.114,34237,2096,true,SJC,North America,San Jose,268,1.43
23.95.67.133,2003,2053,true,SJC,North America,San Jose,291,1.26
23.94.25.245,15182,443,true,SJC,North America,San Jose,285,1.24
104.168.28.65,443,443,true,SJC,North America,San Jose,307,1.22
23.94.25.168,443,443,true,SJC,North America,San Jose,320,1.07
23.94.123.211,17103,443,true,SJC,North America,San Jose,305,0.82
192.210.202.192,20101,443,true,SJC,North America,San Jose,285,0.59
192.210.202.192,36661,443,true,SJC,North America,San Jose,284,0.45
107.174.180.236,34237,2096,true,SJC,North America,San Jose,283,0.29
104.168.13.195,443,443,true,SJC,North America,San Jose,290,0.22
23.95.61.176,20552,443,true,SJC,North America,San Jose,294,0.07
107.172.103.159,45678,443,true,SJC,North America,San Jose,297,0.06
23.94.240.130,15161,443,true,SJC,North America,San Jose,277,0.04
107.173.149.212,443,443,true,SJC,North America,San Jose,320,0.04
207.2.120.16,443,443,true,SJC,North America,San Jose,212,0.00
54.219.34.57,80,443,true,SJC,North America,San Jose,158,0.00
3.101.73.167,80,443,true,SJC,North America,San Jose,168,0.00
204.236.186.113,80,443,true,SJC,North America,San Jose,164,0.00
107.174.180.67,17777,80,false,SJC,North America,San Jose,286,0.00
13.56.179.210,443,443,true,SJC,North America,San Jose,165,0.00
13.57.57.162,443,443,true,SJC,North America,San Jose,163,0.00
54.183.193.193,80,443,true,SJC,North America,San Jose,186,0.00
50.18.133.190,80,443,true,SJC,North America,San Jose,158,0.00
54.177.25.252,80,443,true,SJC,North America,San Jose,164,0.00
13.57.57.162,80,443,true,SJC,North America,San Jose,165,0.00
23.94.25.245,10287,443,true,SJC,North America,San Jose,319,0.00
54.183.131.197,80,443,true,SJC,North America,San Jose,157,0.00
18.144.15.118,80,443,true,SJC,North America,San Jose,164,0.00
